Aggregate Series,SPEPSTTM
Data Start,2003-01-04
Data End,2026-05-16

Date,Value
2003-01-04,2.9629721641540527
2003-01-11,2.960596799850464
2003-01-18,2.9720993041992188
2003-01-25,2.9667248725891113
2003-02-01,2.5930333137512207
2003-02-08,2.565880298614502
2003-02-15,2.5501294136047363
2003-02-22,2.6248483657836914
2003-03-01,2.594768762588501
2003-03-08,2.5803518295288086
2003-03-15,2.605372428894043
2003-03-22,2.5837583541870117
2003-03-29,2.5794360637664795
2003-04-05,2.5715503692626953
2003-04-12,2.5688555240631104
2003-04-19,2.631007194519043
2003-04-26,2.665313243865967
2003-05-03,2.790555953979492
2003-05-10,2.8002262115478516
2003-05-17,2.773833751678467
2003-05-24,2.793707847595215
2003-05-31,2.805084466934204
2003-06-07,2.8050484657287598
2003-06-14,2.813251495361328
2003-06-21,2.7538540363311768
2003-06-28,2.7642645835876465
2003-07-05,2.767298460006714
2003-07-12,2.766003131866455
2003-07-19,2.8966832160949707
2003-07-26,3.1079559326171875
2003-08-02,3.1798980236053467
2003-08-09,3.190075397491455
2003-08-16,3.188839912414551
2003-08-23,3.211122512817383
2003-08-30,3.2167129516601562
2003-09-06,3.2371153831481934
2003-09-13,3.2351765632629395
2003-09-20,3.219271659851074
2003-09-27,3.267838478088379
2003-10-04,3.2739551067352295
2003-10-11,3.2855658531188965
2003-10-18,3.336459159851074
2003-10-25,3.5196189880371094
2003-11-01,3.5242955684661865
2003-11-08,3.56730055809021
2003-11-15,3.5423617362976074
2003-11-22,3.5640501976013184
2003-11-29,3.561168670654297
2003-12-06,3.575634002685547
2003-12-13,3.584935188293457
2003-12-20,3.571732759475708
2003-12-27,3.57709002494812
2004-01-03,3.5874483585357666
2004-01-10,3.5834455490112305
2004-01-17,3.669271469116211
2004-01-24,3.8809382915496826
2004-01-31,4.522439002990723
2004-02-07,4.623676300048828
2004-02-14,4.71422004699707
2004-02-21,4.7076640129089355
2004-02-28,4.72726583480835
2004-03-06,4.733362197875977
2004-03-13,4.73147439956665
2004-03-20,4.712341785430908
2004-03-27,4.731185436248779
2004-04-03,4.737335205078125
2004-04-10,4.735846042633057
2004-04-17,4.77644681930542
2004-04-24,4.866026401519775
2004-05-01,4.88399076461792
2004-05-08,4.939137935638428
2004-05-15,4.971867084503174
2004-05-22,4.998298168182373
2004-05-29,5.0570292472839355
2004-06-05,5.051202774047852
2004-06-12,5.052555561065674
2004-06-19,5.071653366088867
2004-06-26,5.094318389892578
2004-07-03,5.063143730163574
2004-07-10,5.073474407196045
2004-07-17,5.141942024230957
2004-07-24,5.28773832321167
2004-07-31,5.432723522186279
2004-08-07,5.43398380279541
2004-08-14,5.49266242980957
2004-08-21,5.505878925323486
2004-08-28,5.509687900543213
2004-09-04,5.511381149291992
2004-09-11,5.504585266113281
2004-09-18,5.490559101104736
2004-09-25,5.493949890136719
2004-10-02,5.495457649230957
2004-10-09,5.480421543121338
2004-10-16,5.5076141357421875
2004-10-23,5.4512152671813965
2004-10-30,5.611015319824219
2004-11-06,5.6413068771362305
2004-11-13,5.636180877685547
2004-11-20,5.6671528816223145
2004-11-27,5.65581750869751
2004-12-04,5.6580810546875
2004-12-11,5.6744561195373535
2004-12-18,5.661682605743408
2004-12-25,5.662467956542969
2005-01-01,5.654991149902344
2005-01-08,5.667595386505127
2005-01-15,5.668676853179932
2005-01-22,5.667667865753174
2005-01-29,5.7928266525268555
2005-02-05,5.829470634460449
2005-02-12,5.877551078796387
2005-02-19,5.896839141845703
2005-02-26,5.736293315887451
2005-03-05,5.739178657531738
2005-03-12,5.727224349975586
2005-03-19,5.6996026039123535
2005-03-26,5.718654155731201
2005-04-02,5.7346601486206055
2005-04-09,5.726136684417725
2005-04-16,5.695793628692627
2005-04-23,5.707518577575684
2005-04-30,5.8107733726501465
2005-05-07,5.815495491027832
2005-05-14,5.855349063873291
2005-05-21,5.8590087890625
2005-05-28,5.862310886383057
2005-06-04,5.872049331665039
2005-06-11,5.87025785446167
2005-06-18,5.8295979499816895
2005-06-25,5.833588600158691
2005-07-02,5.8550004959106445
2005-07-09,5.857978820800781
2005-07-16,5.871883392333984
2005-07-23,5.975297927856445
2005-07-30,6.12821626663208
2005-08-06,6.136066436767578
2005-08-13,6.132678508758545
2005-08-20,6.163022994995117
2005-08-27,6.143265247344971
2005-09-03,6.21613883972168
2005-09-10,6.212917327880859
2005-09-17,6.187941074371338
2005-09-24,6.204367160797119
2005-10-01,6.196910858154297
2005-10-08,6.207108974456787
2005-10-15,6.214260578155518
2005-10-22,6.352472305297852
2005-10-29,6.546618938446045
2005-11-05,6.652871608734131
2005-11-12,6.6830854415893555
2005-11-19,6.678380489349365
2005-11-26,6.667364597320557
2005-12-03,6.663183689117432
2005-12-10,6.662051677703857
2005-12-17,6.6330108642578125
2005-12-24,6.669236183166504
2005-12-31,6.677332878112793
2006-01-07,6.705198764801025
2006-01-14,6.703882694244385
2006-01-21,6.724153995513916
2006-01-28,6.785196304321289
2006-02-04,6.877201080322266
2006-02-11,6.882551193237305
2006-02-18,6.912930011749268
2006-02-25,7.006991386413574
2006-03-04,6.991337299346924
2006-03-11,7.019914627075195
2006-03-18,7.02449369430542
2006-03-25,7.023584365844727
2006-04-01,7.069783687591553
2006-04-08,7.047844886779785
2006-04-15,7.0459065437316895
2006-04-22,7.184895038604736
2006-04-29,7.308101177215576
2006-05-06,7.221214771270752
2006-05-13,7.240191459655762
2006-05-20,7.276753902435303
2006-05-27,7.281922817230225
2006-06-03,7.253895282745361
2006-06-10,7.247890472412109
2006-06-17,7.227541923522949
2006-06-24,7.268305778503418
2006-07-01,7.286483287811279
2006-07-08,7.280881881713867
2006-07-15,7.282610893249512
2006-07-22,7.318519592285156
2006-07-29,7.324115753173828
2006-08-05,7.3473615646362305
2006-08-12,7.327329635620117
2006-08-19,7.357083797454834
2006-08-26,7.3535051345825195
2006-09-02,7.338836193084717
2006-09-09,7.339690208435059
2006-09-16,7.310398578643799
2006-09-23,7.331737041473389
2006-09-30,7.3321967124938965
2006-10-07,7.3439507484436035
2006-10-14,7.360527992248535
2006-10-21,7.499809741973877
2006-10-28,7.601905822753906
2006-11-04,7.7016706466674805
2006-11-11,7.793181896209717
2006-11-18,7.739200115203857
2006-11-25,7.738345146179199
2006-12-02,7.740481376647949
2006-12-09,7.735048770904541
2006-12-16,7.712441444396973
2006-12-23,7.718659400939941
2006-12-30,7.72428035736084
2007-01-06,7.729590892791748
2007-01-13,7.760068416595459
2007-01-20,7.818801403045654
2007-01-27,7.809270858764648
2007-02-03,7.834583282470703
2007-02-10,7.909292697906494
2007-02-17,7.936995983123779
2007-02-24,7.935256481170654
2007-03-03,8.065706253051758
2007-03-10,8.096304893493652
2007-03-17,8.168766975402832
2007-03-24,8.172863006591797
2007-03-31,8.1736478805542
2007-04-07,8.201122283935547
2007-04-14,8.221680641174316
2007-04-21,8.253571510314941
2007-04-28,8.361629486083984
2007-05-05,8.427338600158691
2007-05-12,8.410076141357422
2007-05-19,8.421414375305176
2007-05-26,8.409242630004883
2007-06-02,8.428682327270508
2007-06-09,8.41663646697998
2007-06-16,8.366703987121582
2007-06-23,8.393769264221191
2007-06-30,8.374247550964355
2007-07-07,8.373331069946289
2007-07-14,8.365436553955078
2007-07-21,8.43143081665039
2007-07-28,8.378681182861328
2007-08-04,8.550556182861328
2007-08-11,8.50795841217041
2007-08-18,8.569439888000488
2007-08-25,8.594306945800781
2007-09-01,8.571076393127441
2007-09-08,8.6024751663208
2007-09-15,8.588019371032715
2007-09-22,8.541714668273926
2007-09-29,8.562966346740723
2007-10-06,8.575889587402344
2007-10-13,8.590679168701172
2007-10-20,8.44317626953125
2007-10-27,8.314946174621582
2007-11-03,8.322558403015137
2007-11-10,7.833785057067871
2007-11-17,7.837629318237305
2007-11-24,7.836899280548096
2007-12-01,7.858201026916504
2007-12-08,7.848791599273682
2007-12-15,7.841925144195557
2007-12-22,7.725213050842285
2007-12-29,7.714519500732422
2008-01-05,7.747622013092041
2008-01-12,7.735835552215576
2008-01-19,7.2934465408325195
2008-01-26,7.255548000335693
2008-02-02,7.181797027587891
2008-02-09,7.056542873382568
2008-02-16,7.025856971740723
2008-02-23,7.062707424163818
2008-03-01,6.951571464538574
2008-03-08,6.931731224060059
2008-03-15,6.943650722503662
2008-03-22,6.82066011428833
2008-03-29,6.869678974151611
2008-04-05,6.920202255249023
2008-04-12,6.924896240234375
2008-04-19,6.632826328277588
2008-04-26,6.545150279998779
2008-05-03,6.475885391235352
2008-05-10,6.289179801940918
2008-05-17,6.2347636222839355
2008-05-24,6.2297587394714355
2008-05-31,6.240105152130127
2008-06-07,6.238018035888672
2008-06-14,6.230626106262207
2008-06-21,6.1402587890625
2008-06-28,6.148741245269775
2008-07-05,6.33814001083374
2008-07-12,6.329076290130615
2008-07-19,6.192931175231934
2008-07-26,5.876501560211182
2008-08-02,5.878854751586914
2008-08-09,5.488044261932373
2008-08-16,5.510366439819336
2008-08-23,5.516175746917725
2008-08-30,5.519939422607422
2008-09-06,5.506897449493408
2008-09-13,5.470719337463379
2008-09-20,5.357340335845947
2008-09-27,5.392218589782715
2008-10-04,5.810612678527832
2008-10-11,5.641841888427734
2008-10-18,5.356145858764648
2008-10-25,4.813600063323975
2008-11-01,4.801175117492676
2008-11-08,5.277486801147461
2008-11-15,4.876535892486572
2008-11-22,4.884572505950928
2008-11-29,4.943774223327637
2008-12-06,4.916445255279541
2008-12-13,4.957439422607422
2008-12-20,4.837940216064453
2008-12-27,4.861308574676514
2009-01-03,5.903614044189453
2009-01-10,5.899812698364258
2009-01-17,5.655478000640869
2009-01-24,5.452225208282471
2009-01-31,4.314037799835205
2009-02-07,3.836336851119995
2009-02-14,3.687127113342285
2009-02-21,3.5806024074554443
2009-02-28,3.3247873783111572
2009-03-07,2.7288970947265625
2009-03-14,2.72741436958313
2009-03-21,2.697572946548462
2009-03-28,2.6945767402648926
2009-04-04,2.64750599861145
2009-04-11,2.661336898803711
2009-04-18,2.6601667404174805
2009-04-25,2.2397098541259766
2009-05-02,1.8999632596969604
2009-05-09,1.7102456092834473
2009-05-16,1.7406116724014282
2009-05-23,1.7246769666671753
2009-05-30,1.7230422496795654
2009-06-06,1.7151648998260498
2009-06-13,1.7131775617599487
2009-06-20,1.6928298473358154
2009-06-27,1.686722993850708
2009-07-04,2.1044490337371826
2009-07-11,2.101694345474243
2009-07-18,2.089674472808838
2009-07-25,1.9276435375213623
2009-08-01,1.6727997064590454
2009-08-08,1.6804863214492798
2009-08-15,1.6787936687469482
2009-08-22,1.6796584129333496
2009-08-29,1.6743367910385132
2009-09-05,1.6763437986373901
2009-09-12,1.6764373779296875
2009-09-19,1.6699211597442627
2009-09-26,1.6699044704437256
2009-10-03,1.6814451217651367
2009-10-10,1.6794013977050781
2009-10-17,0.8851690292358398
2009-10-24,0.7782891988754272
2009-10-31,0.5312793850898743
2009-11-07,0.8674574494361877
2009-11-14,0.8595033288002014
2009-11-21,0.8598061203956604
2009-11-28,0.8540021777153015
2009-12-05,0.856351912021637
2009-12-12,0.845955491065979
2009-12-19,0.8395708799362183
2009-12-26,0.8539173603057861
2010-01-02,0.8983796834945679
2010-01-09,0.9061821699142456
2010-01-16,1.005027174949646
2010-01-23,2.427032947540283
2010-01-30,3.4899299144744873
2010-02-06,3.9247586727142334
2010-02-13,4.198344707489014
2010-02-20,4.410670757293701
2010-02-27,5.176706790924072
2010-03-06,5.203502178192139
2010-03-13,5.2017927169799805
2010-03-20,5.182826519012451
2010-03-27,5.190647602081299
2010-04-03,5.2090888023376465
2010-04-10,5.214920520782471
2010-04-17,5.230924606323242
2010-04-24,5.5671467781066895
2010-05-01,5.905437469482422
2010-05-08,6.132113933563232
2010-05-15,6.168789386749268
2010-05-22,6.200915813446045
2010-05-29,6.214956283569336
2010-06-05,6.211203098297119
2010-06-12,6.226284980773926
2010-06-19,6.21312952041626
2010-06-26,6.236253261566162
2010-07-03,6.233413219451904
2010-07-10,6.246180534362793
2010-07-17,6.2145490646362305
2010-07-24,6.380356788635254
2010-07-31,6.625609874725342
2010-08-07,6.688455581665039
2010-08-14,6.714942932128906
2010-08-21,6.7332539558410645
2010-08-28,6.7404465675354
2010-09-04,6.750485897064209
2010-09-11,6.7566022872924805
2010-09-18,6.7199625968933105
2010-09-25,6.724381923675537
2010-10-02,6.728184700012207
2010-10-09,6.747075080871582
2010-10-16,6.785245418548584
2010-10-23,7.123932838439941
2010-10-30,7.241307735443115
2010-11-06,7.212945461273193
2010-11-13,7.217040538787842
2010-11-20,7.240866661071777
2010-11-27,7.227078437805176
2010-12-04,7.277498245239258
2010-12-11,7.278432369232178
2010-12-18,7.253469944000244
2010-12-25,7.263052463531494
2011-01-01,7.255001068115234
2011-01-08,7.263859272003174
2011-01-15,7.287528038024902
2011-01-22,7.530877590179443
2011-01-29,7.612973213195801
2011-02-05,7.604525566101074
2011-02-12,7.638609886169434
2011-02-19,7.654478549957275
2011-02-26,7.871077537536621
2011-03-05,7.870248317718506
2011-03-12,7.876812934875488
2011-03-19,7.844130039215088
2011-03-26,7.864521503448486
2011-04-02,7.869020462036133
2011-04-09,7.87965202331543
2011-04-16,7.900145053863525
2011-04-23,8.029169082641602
2011-04-30,8.211023330688477
2011-05-07,8.06158447265625
2011-05-14,8.068805694580078
2011-05-21,8.090312004089355
2011-05-28,8.103436470031738
2011-06-04,8.112297058105469
2011-06-11,8.11392879486084
2011-06-18,8.078210830688477
2011-06-25,8.092583656311035
2011-07-02,8.106857299804688
2011-07-09,8.115159034729004
2011-07-16,8.137085914611816
2011-07-23,8.135249137878418
2011-07-30,8.248608589172363
2011-08-06,8.381103515625
2011-08-13,8.395570755004883
2011-08-20,8.415545463562012
2011-08-27,8.412325859069824
2011-09-03,8.423163414001465
2011-09-10,8.423832893371582
2011-09-17,8.378634452819824
2011-09-24,8.38145923614502
2011-10-01,8.409489631652832
2011-10-08,8.419634819030762
2011-10-15,8.419271469116211
2011-10-22,8.565526962280273
2011-10-29,8.72779655456543
2011-11-05,9.069830894470215
2011-11-12,9.034261703491211
2011-11-19,9.049004554748535
2011-11-26,9.035879135131836
2011-12-03,9.026596069335938
2011-12-10,9.029382705688477
2011-12-17,8.962084770202637
2011-12-24,8.988241195678711
2011-12-31,8.976054191589355
2012-01-07,8.990579605102539
2012-01-14,8.973235130310059
2012-01-21,9.014459609985352
2012-01-28,9.092820167541504
2012-02-04,9.0982027053833
2012-02-11,8.99660873413086
2012-02-18,9.016541481018066
2012-02-25,8.827486038208008
2012-03-03,8.777116775512695
2012-03-10,8.785746574401855
2012-03-17,8.757320404052734
2012-03-24,8.764249801635742
2012-03-31,8.731151580810547
2012-04-07,8.73554515838623
2012-04-14,8.755071640014648
2012-04-21,8.76941204071045
2012-04-28,8.836037635803223
2012-05-05,8.893645286560059
2012-05-12,8.93183708190918
2012-05-19,8.934769630432129
2012-05-26,8.959382057189941
2012-06-02,8.952289581298828
2012-06-09,8.959641456604004
2012-06-16,8.919309616088867
2012-06-23,8.914649963378906
2012-06-30,8.917670249938965
2012-07-07,8.928996086120605
2012-07-14,8.938714981079102
2012-07-21,9.002346992492676
2012-07-28,8.996524810791016
2012-08-04,9.003228187561035
2012-08-11,8.94936752319336
2012-08-18,8.96511173248291
2012-08-25,8.84839153289795
2012-09-01,8.850998878479004
2012-09-08,8.85667896270752
2012-09-15,8.867758750915527
2012-09-22,8.825799942016602
2012-09-29,8.823654174804688
2012-10-06,8.9013032913208
2012-10-13,8.92408561706543
2012-10-20,8.828535079956055
2012-10-27,8.890264511108398
2012-11-03,8.86573600769043
2012-11-10,8.878613471984863
2012-11-17,8.883904457092285
2012-11-24,8.809025764465332
2012-12-01,8.811431884765625
2012-12-08,8.821694374084473
2012-12-15,8.837162017822266
2012-12-22,8.77624797821045
2012-12-29,8.778421401977539
2013-01-05,8.821293830871582
2013-01-12,8.834911346435547
2013-01-19,8.867964744567871
2013-01-26,8.891841888427734
2013-02-02,8.750643730163574
2013-02-09,8.808070182800293
2013-02-16,8.790297508239746
2013-02-23,8.577016830444336
2013-03-02,8.610481262207031
2013-03-09,8.61948013305664
2013-03-16,8.597339630126953
2013-03-23,8.60803508758545
2013-03-30,8.609643936157227
2013-04-06,8.615198135375977
2013-04-13,8.642863273620605
2013-04-20,8.690325736999512
2013-04-27,8.69925308227539
2013-05-04,8.70384407043457
2013-05-11,8.70589828491211
2013-05-18,8.708916664123535
2013-05-25,8.72099781036377
2013-06-01,8.712742805480957
2013-06-08,8.717412948608398
2013-06-15,8.725744247436523
2013-06-22,8.695075988769531
2013-06-29,8.693519592285156
2013-07-06,8.717376708984375
2013-07-13,8.780714988708496
2013-07-20,8.949707984924316
2013-07-27,8.978802680969238
2013-08-03,8.889132499694824
2013-08-10,8.884223937988281
2013-08-17,8.89682674407959
2013-08-24,9.010682106018066
2013-08-31,9.012185096740723
2013-09-07,9.022379875183105
2013-09-14,9.017990112304688
2013-09-21,8.985367774963379
2013-09-28,8.98732852935791
2013-10-05,9.00902271270752
2013-10-12,8.963656425476074
2013-10-19,9.042884826660156
2013-10-26,9.138590812683105
2013-11-02,9.10042667388916
2013-11-09,9.201911926269531
2013-11-16,9.211292266845703
2013-11-23,9.232730865478516
2013-11-30,9.316171646118164
2013-12-07,9.320967674255371
2013-12-14,9.325847625732422
2013-12-21,9.288910865783691
2013-12-28,9.2893648147583
2014-01-04,9.251900672912598
2014-01-11,9.264010429382324
2014-01-18,9.32544994354248
2014-01-25,9.60769271850586
2014-02-01,9.903399467468262
2014-02-08,9.902567863464355
2014-02-15,9.982346534729004
2014-02-22,9.995641708374023
2014-03-01,10.00642204284668
2014-03-08,10.017834663391113
2014-03-15,10.026798248291016
2014-03-22,9.973896980285645
2014-03-29,9.982351303100586
2014-04-05,10.018864631652832
2014-04-12,10.014363288879395
2014-04-19,9.992390632629395
