Aggregate Series,MySPEPSCNY
Data Start,2003-01-04
Data End,2026-05-16

Date,Value
2003-01-04,4.959869861602783
2003-01-11,4.9446916580200195
2003-01-18,4.968926906585693
2003-01-25,5.000734806060791
2003-02-01,5.043510437011719
2003-02-08,5.02050256729126
2003-02-15,5.047676086425781
2003-02-22,5.026994705200195
2003-03-01,5.048881530761719
2003-03-08,5.023464202880859
2003-03-15,5.01714563369751
2003-03-22,4.974606037139893
2003-03-29,4.961845874786377
2003-04-05,4.984099864959717
2003-04-12,4.981847286224365
2003-04-19,5.047415733337402
2003-04-26,5.062492847442627
2003-05-03,5.062979698181152
2003-05-10,5.0862836837768555
2003-05-17,5.112778186798096
2003-05-24,5.119747161865234
2003-05-31,5.125917911529541
2003-06-07,5.127320289611816
2003-06-14,5.140264987945557
2003-06-21,5.097165584564209
2003-06-28,5.10680627822876
2003-07-05,5.109166145324707
2003-07-12,5.12218713760376
2003-07-19,5.156844615936279
2003-07-26,5.22666072845459
2003-08-02,5.251917362213135
2003-08-09,5.272599220275879
2003-08-16,5.28117561340332
2003-08-23,5.287440776824951
2003-08-30,5.304530620574951
2003-09-06,5.314897537231445
2003-09-13,5.316876411437988
2003-09-20,5.302477836608887
2003-09-27,5.320583343505859
2003-10-04,5.328309059143066
2003-10-11,5.352688789367676
2003-10-18,5.394641399383545
2003-10-25,5.328235149383545
2003-11-01,5.310853481292725
2003-11-08,5.333042621612549
2003-11-15,5.362033367156982
2003-11-22,5.395763874053955
2003-11-29,5.382847309112549
2003-12-06,5.392700672149658
2003-12-13,5.397301197052002
2003-12-20,5.354558944702148
2003-12-27,5.364446640014648
2004-01-03,5.379288673400879
2004-01-10,5.3787312507629395
2004-01-17,5.405986785888672
2004-01-24,5.701400279998779
2004-01-31,5.7501068115234375
2004-02-07,5.765828609466553
2004-02-14,5.813220500946045
2004-02-21,5.832307815551758
2004-02-28,5.851400375366211
2004-03-06,5.870595455169678
2004-03-13,5.8754143714904785
2004-03-20,5.876001358032227
2004-03-27,5.896182537078857
2004-04-03,5.917782306671143
2004-04-10,5.925588607788086
2004-04-17,5.742482662200928
2004-04-24,5.851438045501709
2004-05-01,5.852097988128662
2004-05-08,5.880945205688477
2004-05-15,5.924644470214844
2004-05-22,5.947645664215088
2004-05-29,5.98110818862915
2004-06-05,5.995067596435547
2004-06-12,6.00425910949707
2004-06-19,5.985576629638672
2004-06-26,6.000095844268799
2004-07-03,5.999221324920654
2004-07-10,6.010133743286133
2004-07-17,6.056416988372803
2004-07-24,6.113330364227295
2004-07-31,6.16110372543335
2004-08-07,6.163158893585205
2004-08-14,6.195845603942871
2004-08-21,6.199483394622803
2004-08-28,6.213006019592285
2004-09-04,6.218607425689697
2004-09-11,6.210170269012451
2004-09-18,6.189853191375732
2004-09-25,6.207425117492676
2004-10-02,6.206540107727051
2004-10-09,6.2044901847839355
2004-10-16,6.226644992828369
2004-10-23,6.2957329750061035
2004-10-30,6.343476295471191
2004-11-06,6.394773006439209
2004-11-13,6.3895697593688965
2004-11-20,6.4256792068481445
2004-11-27,6.413210391998291
2004-12-04,6.425043106079102
2004-12-11,6.444234371185303
2004-12-18,6.417210578918457
2004-12-25,6.405922889709473
2005-01-01,6.383399963378906
2005-01-08,6.39541482925415
2005-01-15,6.4024152755737305
2005-01-22,6.677032947540283
2005-01-29,6.746669769287109
2005-02-05,6.7789082527160645
2005-02-12,6.815220355987549
2005-02-19,6.821201324462891
2005-02-26,6.833655834197998
2005-03-05,6.85726261138916
2005-03-12,6.862704277038574
2005-03-19,6.825738906860352
2005-03-26,6.860990524291992
2005-04-02,6.8866424560546875
2005-04-09,6.86673641204834
2005-04-16,6.810378074645996
2005-04-23,6.917768478393555
2005-04-30,7.000270843505859
2005-05-07,7.014889717102051
2005-05-14,7.140239238739014
2005-05-21,7.131967067718506
2005-05-28,7.138805866241455
2005-06-04,7.150936603546143
2005-06-11,7.1461663246154785
2005-06-18,7.0992841720581055
2005-06-25,7.1102118492126465
2005-07-02,7.141061782836914
2005-07-09,7.157623291015625
2005-07-16,7.172345161437988
2005-07-23,7.261720657348633
2005-07-30,7.314001560211182
2005-08-06,7.35049295425415
2005-08-13,7.361356258392334
2005-08-20,7.417830467224121
2005-08-27,7.406487941741943
2005-09-03,7.446911334991455
2005-09-10,7.484494686126709
2005-09-17,7.457128047943115
2005-09-24,7.487452030181885
2005-10-01,7.502806663513184
2005-10-08,7.500479698181152
2005-10-15,7.522693634033203
2005-10-22,7.5927414894104
2005-10-29,7.650638580322266
2005-11-05,7.704855442047119
2005-11-12,7.7151360511779785
2005-11-19,7.7446160316467285
2005-11-26,7.737527370452881
2005-12-03,7.730068206787109
2005-12-10,7.739724636077881
2005-12-17,7.685401439666748
2005-12-24,7.7088212966918945
2005-12-31,7.699888706207275
2006-01-07,7.741949081420898
2006-01-14,7.735937595367432
2006-01-21,7.702691078186035
2006-01-28,7.787193775177002
2006-02-04,7.846299171447754
2006-02-11,7.874353408813477
2006-02-18,7.884328842163086
2006-02-25,7.920433521270752
2006-03-04,7.889565944671631
2006-03-11,7.910892963409424
2006-03-18,7.894750595092773
2006-03-25,7.891157627105713
2006-04-01,7.946646213531494
2006-04-08,7.912784099578857
2006-04-15,7.912406921386719
2006-04-22,8.04898738861084
2006-04-29,8.119708061218262
2006-05-06,8.076014518737793
2006-05-13,8.104080200195312
2006-05-20,8.144013404846191
2006-05-27,8.144514083862305
2006-06-03,8.143186569213867
2006-06-10,8.1524076461792
2006-06-17,8.12067985534668
2006-06-24,8.158835411071777
2006-07-01,8.180135726928711
2006-07-08,8.173863410949707
2006-07-15,8.171304702758789
2006-07-22,8.253372192382812
2006-07-29,8.332093238830566
2006-08-05,8.393440246582031
2006-08-12,8.419949531555176
2006-08-19,8.422797203063965
2006-08-26,8.41552448272705
2006-09-02,8.40088176727295
2006-09-09,8.399847030639648
2006-09-16,8.365681648254395
2006-09-23,8.373042106628418
2006-09-30,8.372138023376465
2006-10-07,8.383743286132812
2006-10-14,8.381148338317871
2006-10-21,8.445476531982422
2006-10-28,8.518051147460938
2006-11-04,8.56113052368164
2006-11-11,8.567543029785156
2006-11-18,8.527482986450195
2006-11-25,8.534429550170898
2006-12-02,8.543750762939453
2006-12-09,8.532119750976562
2006-12-16,8.480249404907227
2006-12-23,8.487159729003906
2006-12-30,8.492169380187988
2007-01-06,8.481453895568848
2007-01-13,8.498492240905762
2007-01-20,8.504742622375488
2007-01-27,8.534624099731445
2007-02-03,8.57652473449707
2007-02-10,8.588644027709961
2007-02-17,8.581257820129395
2007-02-24,8.595181465148926
2007-03-03,8.59786605834961
2007-03-10,8.628175735473633
2007-03-17,8.64081859588623
2007-03-24,8.656681060791016
2007-03-31,8.646607398986816
2007-04-07,8.679373741149902
2007-04-14,8.69985580444336
2007-04-21,8.802857398986816
2007-04-28,8.932137489318848
2007-05-05,8.964998245239258
2007-05-12,8.992142677307129
2007-05-19,9.019593238830566
2007-05-26,9.020490646362305
2007-06-02,9.050085067749023
2007-06-09,9.05262565612793
2007-06-16,9.028748512268066
2007-06-23,9.071210861206055
2007-06-30,9.072595596313477
2007-07-07,9.077677726745605
2007-07-14,9.074652671813965
2007-07-21,9.212265014648438
2007-07-28,9.252301216125488
2007-08-04,9.396780967712402
2007-08-11,9.349780082702637
2007-08-18,9.406725883483887
2007-08-25,9.429230690002441
2007-09-01,9.428706169128418
2007-09-08,9.457185745239258
2007-09-15,9.432486534118652
2007-09-22,9.36149787902832
2007-09-29,9.388897895812988
2007-10-06,9.365723609924316
2007-10-13,9.376670837402344
2007-10-20,9.404693603515625
2007-10-27,9.486650466918945
2007-11-03,9.472736358642578
2007-11-10,9.430746078491211
2007-11-17,9.411882400512695
2007-11-24,9.378223419189453
2007-12-01,9.368427276611328
2007-12-08,9.318161964416504
2007-12-15,9.25940227508545
2007-12-22,9.194828987121582
2007-12-29,9.171812057495117
2008-01-05,9.20114517211914
2008-01-12,9.16866683959961
2008-01-19,9.087397575378418
2008-01-26,9.158151626586914
2008-02-02,9.206101417541504
2008-02-09,9.17937183380127
2008-02-16,9.190227508544922
2008-02-23,9.201522827148438
2008-03-01,9.20174789428711
2008-03-08,9.14889144897461
2008-03-15,9.108572006225586
2008-03-22,8.971296310424805
2008-03-29,8.99185848236084
2008-04-05,9.006660461425781
2008-04-12,8.988286972045898
2008-04-19,8.958048820495605
2008-04-26,9.027059555053711
2008-05-03,9.101628303527832
2008-05-10,9.116998672485352
2008-05-17,9.13365650177002
2008-05-24,9.10687255859375
2008-05-31,9.127195358276367
2008-06-07,9.108573913574219
2008-06-14,9.04572582244873
2008-06-21,9.005664825439453
2008-06-28,9.00533676147461
2008-07-05,8.987102508544922
2008-07-12,8.915796279907227
2008-07-19,8.979869842529297
2008-07-26,8.9711332321167
2008-08-02,8.976775169372559
2008-08-09,8.931145668029785
2008-08-16,8.944629669189453
2008-08-23,8.930380821228027
2008-08-30,8.912174224853516
2008-09-06,8.837996482849121
2008-09-13,8.850227355957031
2008-09-20,8.654070854187012
2008-09-27,8.606280326843262
2008-10-04,8.705436706542969
2008-10-11,8.39278507232666
2008-10-18,8.379642486572266
2008-10-25,8.23770523071289
2008-11-01,8.109374046325684
2008-11-08,8.060859680175781
2008-11-15,7.81802225112915
2008-11-22,7.735281944274902
2008-11-29,7.7404937744140625
2008-12-06,7.553971290588379
2008-12-13,7.469622611999512
2008-12-20,7.225057601928711
2008-12-27,7.2040791511535645
2009-01-03,7.217049598693848
2009-01-10,7.11847448348999
2009-01-17,6.956387042999268
2009-01-24,6.730724334716797
2009-01-31,6.338001728057861
2009-02-07,6.145005702972412
2009-02-14,6.069183826446533
2009-02-21,6.018442630767822
2009-02-28,5.966346263885498
2009-03-07,5.944244861602783
2009-03-14,5.878668785095215
2009-03-21,5.758515357971191
2009-03-28,5.750565052032471
2009-04-04,5.684261322021484
2009-04-11,5.682870388031006
2009-04-18,5.6653971672058105
2009-04-25,5.726219177246094
2009-05-02,5.816433906555176
2009-05-09,5.841672420501709
2009-05-16,5.858315467834473
2009-05-23,5.8634352684021
2009-05-30,5.897608757019043
2009-06-06,5.887113094329834
2009-06-13,5.886634826660156
2009-06-20,5.862730979919434
2009-06-27,5.873959541320801
2009-07-04,6.049631118774414
2009-07-11,6.054174423217773
2009-07-18,6.148452281951904
2009-07-25,6.240617752075195
2009-08-01,6.350859642028809
2009-08-08,6.389760971069336
2009-08-15,6.421387672424316
2009-08-22,6.432765960693359
2009-08-29,6.449394226074219
2009-09-05,6.460869312286377
2009-09-12,6.4728498458862305
2009-09-19,6.451227188110352
2009-09-26,6.475676536560059
2009-10-03,6.487096786499023
2009-10-10,6.501079559326172
2009-10-17,6.509035587310791
2009-10-24,6.700554370880127
2009-10-31,6.800076961517334
2009-11-07,6.915863513946533
2009-11-14,6.9448018074035645
2009-11-21,6.955211639404297
2009-11-28,6.9789252281188965
2009-12-05,6.983449935913086
2009-12-12,6.993495464324951
2009-12-19,6.970965385437012
2009-12-26,6.972050189971924
2010-01-02,6.960065841674805
2010-01-09,6.993514537811279
2010-01-16,7.0146965980529785
2010-01-23,7.1409912109375
2010-01-30,7.306044578552246
2010-02-06,7.391500949859619
2010-02-13,7.449128150939941
2010-02-20,7.479125499725342
2010-02-27,7.525123596191406
2010-03-06,7.536567687988281
2010-03-13,7.5324859619140625
2010-03-20,7.504950046539307
2010-03-27,7.505584716796875
2010-04-03,7.506235599517822
2010-04-10,7.5120391845703125
2010-04-17,7.621110916137695
2010-04-24,7.886701583862305
2010-05-01,8.06912612915039
2010-05-08,8.133527755737305
2010-05-15,8.17425537109375
2010-05-22,8.206141471862793
2010-05-29,8.20744514465332
2010-06-05,8.196524620056152
2010-06-12,8.215483665466309
2010-06-19,8.17760944366455
2010-06-26,8.201499938964844
2010-07-03,8.202129364013672
2010-07-10,8.204000473022461
2010-07-17,8.274287223815918
2010-07-24,8.426593780517578
2010-07-31,8.546725273132324
2010-08-07,8.59881591796875
2010-08-14,8.598901748657227
2010-08-21,8.615789413452148
2010-08-28,8.609475135803223
2010-09-04,8.608988761901855
2010-09-11,8.606915473937988
2010-09-18,8.5523042678833
2010-09-25,8.550590515136719
2010-10-02,8.533873558044434
2010-10-09,8.531026840209961
2010-10-16,8.539471626281738
2010-10-23,8.695556640625
2010-10-30,8.779413223266602
2010-11-06,8.818780899047852
2010-11-13,8.827559471130371
2010-11-20,8.854456901550293
2010-11-27,8.827430725097656
2010-12-04,8.868091583251953
2010-12-11,8.876347541809082
2010-12-18,8.867820739746094
2010-12-25,8.876432418823242
2011-01-01,8.875761985778809
2011-01-08,8.90042495727539
2011-01-15,8.937433242797852
2011-01-22,9.053498268127441
2011-01-29,9.152275085449219
2011-02-05,9.20537281036377
2011-02-12,9.232712745666504
2011-02-19,9.270215034484863
2011-02-26,9.310476303100586
2011-03-05,9.324454307556152
2011-03-12,9.34421443939209
2011-03-19,9.331731796264648
2011-03-26,9.354863166809082
2011-04-02,9.344291687011719
2011-04-09,9.406370162963867
2011-04-16,9.455904960632324
2011-04-23,9.620314598083496
2011-04-30,9.74923324584961
2011-05-07,9.809700012207031
2011-05-14,9.831552505493164
2011-05-21,9.856372833251953
2011-05-28,9.867588996887207
2011-06-04,9.869611740112305
2011-06-11,9.878207206726074
2011-06-18,9.831597328186035
2011-06-25,9.837533950805664
2011-07-02,9.786957740783691
2011-07-09,9.756032943725586
2011-07-16,9.782441139221191
2011-07-23,9.983518600463867
2011-07-30,10.05230712890625
2011-08-06,10.09835147857666
2011-08-13,10.082723617553711
2011-08-20,10.079818725585938
2011-08-27,10.055068016052246
2011-09-03,10.094507217407227
2011-09-10,10.078173637390137
2011-09-17,9.976582527160645
2011-09-24,9.952657699584961
2011-10-01,9.949381828308105
2011-10-08,9.91801929473877
2011-10-15,9.871027946472168
2011-10-22,9.979007720947266
2011-10-29,10.004509925842285
2011-11-05,10.03892707824707
2011-11-12,10.05175495147705
2011-11-19,10.073723793029785
2011-11-26,10.067709922790527
2011-12-03,10.060067176818848
2011-12-10,10.059196472167969
2011-12-17,9.963112831115723
2011-12-24,9.987726211547852
2011-12-31,9.962053298950195
2012-01-07,9.958891868591309
2012-01-14,9.913439750671387
2012-01-21,9.955958366394043
2012-01-28,10.039970397949219
2012-02-04,10.012934684753418
2012-02-11,10.02962875366211
2012-02-18,10.054110527038574
2012-02-25,10.087940216064453
2012-03-03,10.108217239379883
2012-03-10,10.115707397460938
2012-03-17,10.08497428894043
2012-03-24,10.113049507141113
2012-03-31,10.100404739379883
2012-04-07,10.115303039550781
2012-04-14,10.16342830657959
2012-04-21,10.278533935546875
2012-04-28,10.406710624694824
2012-05-05,10.461896896362305
2012-05-12,10.48384952545166
2012-05-19,10.470566749572754
2012-05-26,10.48520565032959
2012-06-02,10.47671890258789
2012-06-09,10.454626083374023
2012-06-16,10.387625694274902
2012-06-23,10.383940696716309
2012-06-30,10.33606243133545
2012-07-07,10.329562187194824
2012-07-14,10.28872013092041
2012-07-21,10.352765083312988
2012-07-28,10.395357131958008
2012-08-04,10.480852127075195
2012-08-11,10.489538192749023
2012-08-18,10.503395080566406
2012-08-25,10.511442184448242
2012-09-01,10.51032829284668
2012-09-08,10.502761840820312
2012-09-15,10.520326614379883
2012-09-22,10.458186149597168
2012-09-29,10.466681480407715
2012-10-06,10.517651557922363
2012-10-13,10.524713516235352
2012-10-20,10.585640907287598
2012-10-27,10.614465713500977
2012-11-03,10.611241340637207
2012-11-10,10.624788284301758
2012-11-17,10.655448913574219
2012-11-24,10.651216506958008
2012-12-01,10.641486167907715
2012-12-08,10.641351699829102
2012-12-15,10.644026756286621
2012-12-22,10.575851440429688
2012-12-29,10.576022148132324
2013-01-05,10.609009742736816
2013-01-12,10.603203773498535
2013-01-19,10.651594161987305
2013-01-26,10.693582534790039
2013-02-02,10.74095630645752
2013-02-09,10.780238151550293
2013-02-16,10.815759658813477
2013-02-23,10.844510078430176
2013-03-02,10.838645935058594
2013-03-09,10.837092399597168
2013-03-16,10.798062324523926
2013-03-23,10.816093444824219
2013-03-30,10.802897453308105
2013-04-06,10.806562423706055
2013-04-13,10.814901351928711
2013-04-20,10.888524055480957
2013-04-27,10.946623802185059
2013-05-04,11.054832458496094
2013-05-11,11.083314895629883
2013-05-18,11.101036071777344
2013-05-25,11.05543041229248
2013-06-01,11.039983749389648
2013-06-08,11.044349670410156
2013-06-15,11.057394027709961
2013-06-22,11.01451301574707
2013-06-29,11.000263214111328
2013-07-06,11.018957138061523
2013-07-13,11.031346321105957
2013-07-20,11.13377571105957
2013-07-27,11.20345687866211
2013-08-03,11.246491432189941
2013-08-10,11.260663986206055
2013-08-17,11.274746894836426
2013-08-24,11.278871536254883
2013-08-31,11.279861450195312
2013-09-07,11.29647445678711
2013-09-14,11.28510570526123
2013-09-21,11.231200218200684
2013-09-28,11.22816276550293
2013-10-05,11.224546432495117
2013-10-12,11.219308853149414
2013-10-19,11.272062301635742
2013-10-26,11.335766792297363
2013-11-02,11.400118827819824
2013-11-09,11.443857192993164
2013-11-16,11.4606351852417
2013-11-23,11.472674369812012
2013-11-30,11.469128608703613
2013-12-07,11.480022430419922
2013-12-14,11.485136032104492
2013-12-21,11.415696144104004
2013-12-28,11.415459632873535
2014-01-04,11.368396759033203
2014-01-11,11.356678009033203
2014-01-18,11.395096778869629
2014-01-25,11.432231903076172
2014-02-01,11.466440200805664
2014-02-08,11.49048137664795
2014-02-15,11.500901222229004
2014-02-22,11.509174346923828
2014-03-01,11.518413543701172
2014-03-08,11.523484230041504
2014-03-15,11.525574684143066
2014-03-22,11.4655179977417
2014-03-29,11.486743927001953
2014-04-05,11.487585067749023
2014-04-12,11.46832275390625
2014-04-19,11.534469604492188
2014-04-26,11.724139213562012
2014-05-03,11.788936614990234
2014-05-10,11.834000587463379
2014-05-17,11.84814167022705
2014-05-24,11.854843139648438
