Time,Open,High,Low,Last,Change,%Chg,Volume
2020-01-03,0.85,0.85,0.85,0.85,-0.15,-15.00%,0.0
2020-01-06,0.76,0.76,0.76,0.76,-0.09,-10.59%,0.0
2020-01-07,0.97,0.97,0.97,0.97,0.21,+27.63%,0.0
2020-01-08,0.86,0.86,0.86,0.86,-0.11,-11.34%,0.0
2020-01-09,0.88,0.88,0.88,0.88,0.02,+2.33%,0.0
2020-01-10,1.04,1.04,1.04,1.04,0.16,+18.18%,0.0
2020-01-13,1.47,1.47,1.47,1.47,0.43,+41.35%,0.0
2020-01-14,1.13,1.13,1.13,1.13,-0.34,-23.13%,0.0
2020-01-15,0.84,0.84,0.84,0.84,-0.29,-25.66%,0.0
2020-01-16,1.88,1.88,1.88,1.88,1.04,+123.81%,0.0
2020-01-17,1.55,1.55,1.55,1.55,-0.33,-17.55%,0.0
2020-01-21,0.69,0.69,0.69,0.69,-0.86,-55.48%,0.0
2020-01-22,0.87,0.87,0.87,0.87,0.18,+26.09%,0.0
2020-01-23,0.98,0.98,0.98,0.98,0.11,+12.64%,0.0
2020-01-24,1.07,1.07,1.07,1.07,0.09,+9.18%,0.0
2020-01-27,0.86,0.86,0.86,0.86,-0.21,-19.63%,0.0
2020-01-28,0.97,0.97,0.97,0.97,0.11,+12.79%,0.0
2020-01-29,1.09,1.09,1.09,1.09,0.12,+12.37%,0.0
2020-01-30,1.2,1.2,1.2,1.2,0.11,+10.09%,0.0
2020-01-31,1.22,1.22,1.22,1.22,0.02,+1.67%,0.0
2020-02-03,1.26,1.26,1.26,1.26,0.04,+3.28%,0.0
2020-02-04,1.32,1.32,1.32,1.32,0.06,+4.76%,0.0
2020-02-05,0.9,0.9,0.9,0.9,-0.42,-31.82%,0.0
2020-02-06,0.86,0.86,0.86,0.86,-0.04,-4.44%,0.0
2020-02-07,1.22,1.22,1.22,1.22,0.36,+41.86%,0.0
2020-02-10,1.14,1.14,1.14,1.14,-0.08,-6.56%,0.0
2020-02-11,1.28,1.28,1.28,1.28,0.14,+12.28%,0.0
2020-02-12,1.0,1.0,1.0,1.0,-0.28,-21.88%,0.0
2020-02-13,1.17,1.17,1.17,1.17,0.17,+17.00%,0.0
2020-02-14,0.9,0.9,0.9,0.9,-0.27,-23.08%,0.0
2020-02-18,0.96,0.96,0.96,0.96,0.06,+6.67%,0.0
2020-02-19,0.81,0.81,0.81,0.81,-0.15,-15.63%,0.0
2020-02-20,1.09,1.09,1.09,1.09,0.28,+34.57%,0.0
2020-02-21,0.98,0.98,0.98,0.98,-0.11,-10.09%,0.0
2020-02-24,0.85,0.85,0.85,0.85,-0.13,-13.27%,0.0
2020-02-25,1.07,1.07,1.07,1.07,0.22,+25.88%,0.0
2020-02-26,0.72,0.72,0.72,0.72,-0.35,-32.71%,0.0
2020-02-27,0.81,0.81,0.81,0.81,0.09,+12.50%,0.0
2020-02-28,0.93,0.93,0.93,0.93,0.12,+14.81%,0.0
2020-03-02,1.06,1.06,1.06,1.06,0.13,+13.98%,0.0
2020-03-03,1.44,1.44,1.44,1.44,0.38,+35.85%,0.0
2020-03-04,1.1,1.1,1.1,1.1,-0.34,-23.61%,0.0
2020-03-05,0.81,0.81,0.81,0.81,-0.29,-26.36%,0.0
